attribute_set,available_for,name,theme_bg,allerretour,category_ids,depart,destination,price,websites,sku,typebillet,theme_color,description,short_description,image,status,store,visibility
barcodeticket,Children,Billet La Malbaie - Les Éboulements Aller simple-7 à 17 ans,malbspreg,Aller simple,3,La Malbaie,Les Éboulements, 11.31  $ ,base,navmalsjoregall-0717,Navette,0,Billet La Malbaie - Les Éboulements Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Baie-St-Paul Aller simple-26 à 64 ans,malbspreg,Aller simple,3,La Malbaie,Baie-St-Paul, 26.09  $ ,base,navmalbspregall-2664,Navette,0,Billet La Malbaie - Baie-St-Paul Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Baie-St-Paul Aller simple-65 ans et +,malbspreg,Aller simple,3,La Malbaie,Baie-St-Paul, 24.35  $ ,base,navmalbspregall-6599,Navette,0,Billet La Malbaie - Baie-St-Paul Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Baie-St-Paul Aller simple-18 à 25 ans,malbspreg,Aller simple,3,La Malbaie,Baie-St-Paul, 20.87  $ ,base,navmalbspregall-1825,Navette,0,Billet La Malbaie - Baie-St-Paul Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet La Malbaie - Baie-St-Paul Aller simple-7 à 17 ans,malbspreg,Aller simple,3,La Malbaie,Baie-St-Paul, 13.05  $ ,base,navmalbspregall-0717,Navette,0,Billet La Malbaie - Baie-St-Paul Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Petite-Rivière Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Petite-Rivière, 15.66  $ ,base,navbspprsregall-2664,Navette,0,Billet Baie-St-Paul - Petite-Rivière Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Petite-Rivière Aller simple-65 ans et +,bspqcreg,Aller simple,3,Baie-St-Paul,Petite-Rivière, 13.92  $ ,base,navbspprsregall-6599,Navette,0,Billet Baie-St-Paul - Petite-Rivière Aller simple-65 ans et +,65 ans et +,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Petite-Rivière Aller simple-18 à 25 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Petite-Rivière, 12.18  $ ,base,navbspprsregall-1825,Navette,0,Billet Baie-St-Paul - Petite-Rivière Aller simple-18 à 25 ans,18 à 25 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Petite-Rivière Aller simple-7 à 17 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Petite-Rivière, 7.83  $ ,base,navbspprsregall-0717,Navette,0,Billet Baie-St-Paul - Petite-Rivière Aller simple-7 à 17 ans,7 à 17 ans,/b/s/bspmalreg.png,,,
barcodeticket,Children,Billet Baie-St-Paul - Beaupré Aller simple-26 à 64 ans,bspqcreg,Aller simple,3,Baie-St-Paul,Beaupré, 33.92  $ ,base,navbspbsaregall-2664,Navette,0,Billet Baie-St-Paul - Beaupré Aller simple-26 à 64 ans,26 à 64 ans,/b/s/bspmalreg.png,,,
